year,Argentina,Australia,Austria,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Cuba,Czechia,Denmark,Ecuador,Estonia,European Union,Finland,France,Germany,Guatemala,Hungary,Iceland,India,Italy,Japan,Kazakhstan,"Korea, Rep.",Malaysia,Mauritius,Monaco,Namibia,Netherlands,New Zealand,Norway,Pakistan,Panama,Papua New Guinea,Peru,Poland,Portugal,Romania,Russian Federation,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkiye,Ukraine,United Kingdom,United States,Uruguay,Vanuatu,"Venezuela, RB"
1982,84307486836.724,194323071830.52,70996111962.5716,,92095926187.5331,271314113768.417,19342000000.0,314647807408.608,19710229067.2864,205480916030.534,38968039721.748,20953510235.2941,,60084214872.0657,19929846396.4239,,2787868117631.33,52784013815.2214,578152310609.841,779421633755.138,8716999700.0,24141667188.0517,3318714326.1952,200715624830.902,428257421617.752,1158731426905.85,,79921300446.6517,26804493635.3297,1092923635.57767,1143216456.56796,2118710248.32937,158712765536.024,24164603058.9949,62647195537.6511,30725971563.981,5769767900.0,2368719683.44848,21794535621.216,,30527754793.1382,,,,,85904057409.3585,195856752991.065,114214731798.937,115043365512.486,64369325153.3742,,515048916841.37,3343789000000.0,9178780076.99713,114501912.522867,67736744186.0465
1983,103979106777.911,177523719680.081,71838528420.4075,,87184239053.2544,189656506321.431,16563666666.6667,341866277182.733,20629678694.0684,231130268199.234,38729822781.5997,22204940512.2235,,60331158447.2389,17152477036.5005,,2710862889681.46,50956447480.7857,553356312935.709,773507930294.906,9050000400.0,21910365258.2514,2862634163.62085,218262146413.158,444063496940.337,1270859919742.9,,89621208322.3386,30347442110.9316,1104956573.09802,1092560364.51959,2297400687.55049,153671294108.563,24309279705.5731,61627240831.0948,28691889763.7795,5923755900.0,2562351551.04491,17345260564.4824,,27239650741.9472,,,,,96204110941.5672,170829074245.94,104862109663.367,114634358534.61,61803555555.5556,,489618008185.539,3634038000000.0,5102276308.45313,117389554.191406,67556279069.7674
1984,116915052107.031,193749932078.26,67719055773.3306,,83349530159.1734,188339974086.58,17594944444.4444,356718400123.543,19974595028.1582,260442857142.857,38253120737.9671,24039383608.4235,,58868891334.9941,16912509091.855,,2612656839102.0,52870993272.6553,525033325827.516,727767760978.627,9470000100.0,21242726264.4854,2964568005.62888,212157645177.652,438896930791.272,1345824500836.76,,99749645088.5994,33942897422.0465,1054564759.05328,1037329604.35108,1951260037.94542,144124462912.088,21665975318.8842,62057955032.7758,31151825467.4978,6183387100.0,2552662617.18854,17600400384.5073,,25217969049.5755,,,,,84870163365.9306,171979977230.387,109043045407.287,109455312167.511,59937602179.8365,,461487097632.349,4037613000000.0,4850238549.61832,144482515.368336,59867743467.9335
1985,88150891728.1064,180861108959.102,69114996009.577,,86268264148.3796,210879844638.877,17155421052.6316,366186012449.652,17933557359.8036,310064625850.34,34894411351.983,22920490774.102,,62452421010.9094,17149088413.35,,2686730457063.81,55856676899.4628,547220981165.134,735218723093.277,9721652086.95652,21510643750.177,3088359966.94589,232511554840.372,453259761687.456,1427019759717.41,,103764281280.89,31199633352.9598,1090611324.6814,1082867507.33142,1608237350.44365,144057523221.868,24679795396.4194,65416879914.3907,31144920844.3272,6541517100.0,2423339171.50015,15078736875.387,,27115807742.0873,,,,,64459376086.6883,180664322896.282,113958084357.094,110980314191.527,67232758620.6897,,489285164271.047,4338979000000.0,4732017873.38369,131856420.703184,61965466666.6667
1986,105872372613.857,182707050923.335,98648254168.5444,,120018787249.413,256480852471.129,20249294117.6471,379006836991.724,19197818084.6757,301310144927.536,34942489683.9712,24226574634.0293,,87748695216.9077,15314138472.3282,,3753266239108.06,73511611541.1682,764946585850.933,1050092624515.9,7231963515.98174,24778163812.0131,4129080094.00499,248985994040.59,641862313287.44,2120083812109.91,,119965960795.24,27734111399.7525,1482601552.40192,1515234743.47367,1809048527.11034,201157708220.903,30604668356.5695,78693118044.0045,31899070055.7967,6797834200.0,2647995602.28698,21859448586.485,,38745901353.7059,,,,,73354771399.2627,251141555185.933,150279869728.789,159089921062.872,75673037037.037,,601452653180.885,4579631000000.0,5880112788.40947,126498935.335649,60516123711.3402
1987,108810885301.253,189726707252.515,123682091858.946,,149394404105.889,283056836893.838,28101000000.0,433134238310.709,22605488850.8981,273455156950.673,36373307085.0887,25213935012.0819,,109183446340.073,13945426859.4657,,4639614022608.17,91564993913.1611,926320855614.973,1302932318824.81,7084399840.0,27232016527.4237,5713281235.45655,279033584092.223,807570134448.76,2580748422781.09,,152240393645.506,32181210157.9671,1906174437.96762,1839081463.27676,2300068216.96898,245406949521.323,40376354069.9474,94229907235.6215,33351529274.6869,6827665300.0,3143851794.08723,36889706592.6843,,48182925857.4071,38067567567.5676,,,,96535763418.3729,318520253335.13,182744315973.756,199236370037.554,87190081680.28,64087694038.2333,745162608269.325,4855215000000.0,7367494080.40014,139464173.547324,48029034482.7586
1988,126890235049.092,236461079970.431,132817124707.456,,162299103675.261,307881930752.268,22555941176.4706,509380027626.554,26174858613.8456,312888888888.889,39212550050.4223,27458999472.2955,,115540189705.118,13051881851.4068,,5094084472960.0,109039090262.971,1010827662151.75,1406367016371.53,7841602824.42748,29799838597.4079,6320093411.44744,296589670895.932,893663934840.821,3125724434400.79,,205477530605.222,35272109220.1988,2163252449.13108,2000704744.91538,2495094746.44024,262295966105.474,45176811594.2029,101900260856.222,38472742808.3167,5902783400.0,3656177880.70625,15439408447.2,,56347250696.3788,40424528301.8868,554828660436.137,,,103976831870.957,375891716897.586,206686590775.558,215540625298.982,90875175808.7201,74703517902.6642,910122732123.799,5236438000000.0,8213538368.84635,158351368.433149,60226413793.1035
1989,76629728760.123,300264309002.14,132584448257.93,,164221056511.057,412990820287.42,21988444444.4444,567211993243.243,30101767991.1135,348380566801.619,39540080200.3938,27023468665.8977,,112312200760.581,13890823704.5545,,5202884439938.86,118991270611.057,1016742237302.08,1404092925205.45,8410724360.79545,30422508937.567,5870854233.21143,296042052944.66,930801709003.669,3109455047823.93,,254236243100.439,38847965292.9185,2211312823.20576,2010083833.1726,2535135797.50766,258716904291.801,43920222524.7085,102633934390.615,40171106279.0078,5918469800.0,3546472565.69364,22499558526.3682,,60594092182.3275,41450777202.0725,506631299734.748,,,108055624081.806,414460794096.978,217632340194.512,208105846934.409,107127191328.935,82709161099.1244,926884816753.927,5641580000000.0,8438951476.06644,154013202.116475,43536709104.0115
1990,141352654305.163,311840666465.053,165811372382.912,17389558232.9317,205331747947.851,390725626002.866,20632090909.0909,596075591360.987,33428580448.2715,361560229445.507,47844090709.9908,28645436569.1489,41016881802.4843,138217740684.484,15239272611.5809,,6505695339260.16,141446120354.533,1257649439826.53,1778162195860.07,7650196845.21546,34478360678.756,6694851159.32729,320979026420.035,1183945130898.51,3185904656663.85,26932016269.6107,292064221388.988,44024585239.6137,2689212760.18576,2481307077.10989,2789921853.53112,318799003993.707,45495129385.0475,119791843059.572,40010423970.4576,6433967000.0,3219729083.06487,26410386962.8019,65977748210.5263,78713860216.5659,38247882300.4904,517014446227.929,12915046978.1615,19832029087.1272,126048140141.869,536175326477.31,261466577008.853,265763573999.424,150655500191.644,81393558423.4406,1093169389204.55,5963144000000.0,9298807850.29979,168879207.244148,48606952194.7752
1991,189719984268.485,326416407860.792,173113449616.971,18404907975.4601,210510999409.333,342609231342.783,7628738475.37666,612527712315.615,38232330917.2011,384510452961.672,49175565911.0655,24316556025.6585,30071014282.3218,139180507777.691,16988535267.6338,,6727631751634.05,127794441993.824,1258961748633.88,1875792575132.59,9406135143.41165,34867307352.646,7151260062.07169,270105341879.226,1249092439519.28,3648065760648.88,24923076923.0769,340851946803.812,49143148094.2683,2895354736.18332,2480540845.33242,2996869281.48364,327982316124.47,42745329732.163,121872464483.487,45625336680.2047,7074675500.0,3787394957.98319,34341465998.2003,85500935934.9901,89233599278.4792,28850634899.856,517962962962.963,14459924588.948,14454495058.907,135203698237.977,576753902321.857,273831464572.137,268901693863.319,151034731543.624,77350733982.4458,1142797178130.51,6158129000000.0,11206176650.9075,201334169.054441,53453444786.6256
1992,228778917308.17,325982966981.415,194314032056.098,16939790093.9054,234781652446.675,328187960871.951,8602887622.63828,594387358318.855,46538895685.8088,428502354788.069,58418985443.3172,22085858243.2432,35051065440.3962,152966494259.538,18094238119.0595,,7389295673878.14,112537828510.751,1389663073110.28,2141377582968.07,10440781587.5435,38857339124.9084,7328497599.30768,288208070278.013,1323204350353.5,3980702922117.66,24917355371.9008,366921291824.719,59167550162.956,3267677814.23984,2737049230.70442,3429521699.4026,363497050125.313,41649829859.6342,130838040067.584,48884671947.4657,8042337700.0,4377980510.05598,35966302303.263,94337050693.2727,107592098307.098,25121666666.6667,460290556900.726,15699327209.2121,14277261540.7456,146956150986.636,630465353486.104,283908914454.48,279921425828.474,159104772991.851,73945908383.7046,1179659529659.53,6520327000000.0,12878148790.7348,209088824.608438,60416519620.0849
1993,236741715015.015,312568858909.5,189634029338.696,16275073526.9819,224721795708.955,368295778245.09,10832064941.654,579053561739.4,49934943320.8828,446557291212.148,66446804802.5747,22367254864.8649,41155654032.1751,143111306004.102,18938717358.6793,4013091682.2914,6750807644414.01,89112105756.2194,1314383368079.69,2078954217437.6,11400017301.4587,40256233360.3817,6435952173.86159,279295648982.529,1067412587670.73,4536940479038.25,23409260879.9427,405705302846.447,66894966968.9736,3307302125.87528,2574494355.73357,3251188833.14533,354070495965.828,46775620817.4327,120579213712.804,51809999353.1614,8782585400.0,4974550286.18152,34832077220.8537,96043157272.862,95009751901.2592,26361160449.9704,435083713850.837,16737973764.3476,14449298371.7879,147194747565.75,524700572623.872,212644602615.823,272237527070.926,180415757851.616,65648559903.0571,1061388722255.55,6858559000000.0,15002136971.1745,200491853.167847,60037460783.1941
1994,257440000000.0,323269456935.317,202738023129.743,14931435232.078,244884129491.198,525369851353.742,9709240033.98973,579944346807.264,57438273591.0521,566929539493.172,81703500846.0364,28448326756.7568,48188478339.4129,156017919221.457,22708673336.6683,4123011419.74174,7157908667157.89,103182697780.307,1385822778827.98,2215282632276.73,12983233310.7467,43307949890.4603,6612804055.79289,327274843459.429,1101750159702.21,4998797547740.97,21250792886.1054,479181794216.859,74478356957.7808,3606050873.0139,2720332134.53623,3666503529.62911,379688232231.505,55314732279.1379,127131319428.701,52293470813.1336,9365289800.0,5502786069.65174,44882079766.8913,110803635287.621,99688641304.3478,30072805104.2542,395077301248.464,20428139755.6056,16400767069.6294,153512712381.836,530183651720.283,228699066874.028,301375055202.164,130650447499.071,52549580264.8064,1140489745944.29,7287236000000.0,17474588895.8918,233701301.490486,58418666666.6667
1995,258031750000.0,368725126225.126,240094169510.031,13972683273.5692,288025588396.278,769333330411.575,18991484420.36,605961090061.207,73820425701.6603,738190896227.55,92507279383.0387,30429803651.2192,60572381311.2283,184848481008.139,24432884442.2211,4502970889.06373,8298352822403.7,134060457516.34,1595219345511.89,2593053091306.13,14655404433.2771,46577614588.9926,7372640168.67697,360281909643.489,1177369428265.78,5545563663889.7,20374302652.3819,586286469400.665,88705342902.7113,4094741652.30048,3130309995.30848,3978514206.31168,452967334614.329,63918703506.9075,152029612324.788,60636071684.1918,9573813700.0,4636057476.42568,53312793687.3836,142838527115.448,118122007430.012,37430162102.6125,395537185734.854,26180022222.2222,21367422159.3207,171735933897.331,614170002668.802,267050453506.792,352835806342.495,234699627004.035,48213856468.5718,1349094208616.06,7639749000000.0,19297663096.5506,249333250.082507,77389487770.0883
1996,272149750000.0,401962517479.122,235952581232.129,14500437519.8258,279201433224.756,850426433004.077,12294964837.6235,630607994132.747,78584098983.6374,868523936530.083,97160109277.8087,25017368700.0,67804105329.8557,187481157845.724,25226393196.5983,4786018988.16491,8433614719069.7,131991975148.848,1598889216566.23,2506576553158.31,15674835615.3139,46833767123.6915,7686566105.26316,392896866204.516,1314776508972.27,4923391533851.63,21035357936.8796,631196863758.281,100855393910.486,4481489761.54368,3137886994.52207,3989163196.56767,451372549019.608,70140835299.0148,163520109150.671,63320170084.4076,9197503322.69367,5155311077.38998,55252414130.3019,160813026223.063,122630089680.27,36937074278.3004,391724890744.498,28197790874.5247,21470699362.6062,163234925380.563,642251412058.321,291949597375.485,340103959546.926,250366965174.129,44558831005.0621,1425287051482.06,8073122000000.0,20515458113.5857,261370044.486614,70543211119.099
1997,292859000000.0,436321902767.408,211724812267.448,14128408565.7064,252708051420.839,883206452795.124,11316127378.9613,654986999855.554,85741415285.165,967753570434.667,106659508271.255,25365908100.0,62539765163.1302,173241365735.483,28162053026.5133,5154420649.23354,7735885029565.07,126862902302.142,1449392222971.45,2218790886532.82,17790026221.6139,47398564799.2496,7716781803.07823,415867563592.829,1244988176443.84,4492448605638.94,22165932062.966,589202526424.141,100005323301.867,4243755307.55239,2840195190.36905,4154989950.00393,417506211881.635,66075143415.4952,161356631888.484,62433340468.0228,10058854386.1392,4936615298.79367,58147522522.5225,159893964916.817,117016535162.95,35575214078.2428,404928954191.876,27844628979.2682,20726878751.5006,168978057327.73,589739772727.273,268249616890.856,294788198856.198,263817553748.395,50151531591.7317,1569317288801.57,8577554457000.0,23969739233.8966,272771209.113662,85837678559.8324
